ref,run,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,CoO,NiO,H2O,CO2,total,_Fe3Fetotal,T_K,P_bar,_Fe3Fe2,olivine_forsterite,fO2,kd_FeTMg,kd_Fe2Mg
K1996,KH3,45.63,2,12.54,11.2,0.19,15.24,8.98,2.06,1.88,0,0.28,,,,,100,,1743.15,30000,,0,,,
K1996,KH4,46.73,2.23,13.09,10.14,0.13,12.35,7.74,2.55,4.91,0,0.13,,,,,100,,1733.15,30000,,0,,,
L2013,Run 16-A3,40.36,1.7,12.69,23.37,0.35,8.79,10.99,1.6,0.13,0,0.03,,,,,100.01,,1573.15,20000,,0.667,,0.33,
L1995,TB992-1,37.6,6.18,7.3,28.6,0.41,10.69,7.62,0.79,0.28,0,0.53,,,,,100,,1748.15,30000,,0.693,,0.3,
L1995,TB992-4,39.27,4.81,8.22,25.91,0.4,11.75,8.02,0.75,0.21,0,0.65,,,,,99.99,,1783.15,30000,,0.716,,0.32,
L1995,TB393-1,40.98,3.72,8.98,23.25,0.27,13.93,8.21,0.02,0.04,0,0.6,,,,,100,,1818.15,30000,,0.772,,0.31,
L1995,TB593-1,38.62,5.33,7.91,26.63,0.26,11.59,8.62,0.51,0.12,0,0.43,,,,,100.02,,1778.15,30000,,0.714,,0.31,
L1995,TB593-2,39.07,4.61,8.27,25.84,0.26,12.31,8.55,0.47,0.08,0,0.54,,,,,100,,1796.15,30000,,0.725,,0.32,
L1995,TB593-3,41.71,2.95,9.41,22.23,0.22,14.68,8.21,0.02,0.04,0,0.52,,,,,99.99,,1818.15,30000,,0.78,,0.33,
L1995,TB693-1,41.24,3.11,9.25,23.04,0.29,14.71,7.81,0.01,0.02,0,0.53,,,,,100.01,,1818.15,30000,,0.774,,0.33,
L1995,TB693-2,40.89,3.5,8.92,23.77,0.29,13.7,8.21,0.1,0.08,0,0.53,,,,,99.99,,1808.15,30000,,0.756,,0.33,
L2002,RD1097-2,46.43,0.69,12.71,10.35,0.04,18.35,8.86,1.98,0.28,0,0.33,,,,,100.02,,1846.15,28000,,0.904,,0.34,
L2002,TM694-5,45,2.11,12.06,15.71,0.1,12.67,6.7,4.65,0.84,0,0.16,,,,,100,,1768.15,28000,,0.804,,0.35,
L2002,TM295-2,45.84,2.11,12.52,12.72,0.12,15.14,7.38,3.07,0.9,0,0.2,,,,,100,,1818.15,28000,,0.863,,0.34,
L2002,TM295-4,46.32,1.68,12.73,11.81,0.1,15.98,7.51,3,0.62,0,0.24,,,,,99.99,,1813.15,28000,,0.877,,0.34,
L2002,MO695-4,47.04,1.49,12.37,11.66,0.17,14.9,6.11,4.85,1.21,0,0.21,,,,,100.01,,1783.15,28000,,0.87,,0.34,
L2002,MO1295-5,47.07,1.76,13.43,9.63,0.13,14.04,6.06,5.67,2.11,0,0.11,,,,,100.01,,1791.15,28000,,0.891,,0.32,
L2002,MO1295-6,46.78,1.83,13.6,9.92,0.13,13.7,6.09,5.65,2.2,0,0.09,,,,,99.99,,1781.15,28000,,0.883,,0.32,
L2002,MO1295-8,47.46,1.83,14.63,9.18,0.11,13.2,6.25,5.22,1.98,0,0.14,,,,,100,,1758.15,24000,,0.886,,0.33,
MD2012,G177,43.97,4.1,13.99,8.99,0.17,14.99,10.99,2.4,0.27,0,0.13,,,,,100,,1648.15,25000,,0.898,,0.34,
MD2012,G145,44.89,6.61,12.63,9.92,0.14,13.63,7.72,4.01,0.4,0,0.06,,,,,100.01,,1648.15,25000,,0.868,,0.37,
MD2012,G137,46.88,3.23,13.11,9.07,0.18,14.11,11.09,2.02,0.2,0,0.11,,,,,100,,1648.15,30000,,0.897,,0.32,
MD2012,G175,43.83,3.79,13.95,8.97,0.16,14.94,10.96,2.99,0.3,0,0.12,,,,,100.01,,1648.15,30000,,0.896,,0.34,
MD2012,G150,44.93,6.12,13.74,10.33,0.16,12.03,8.42,3.81,0.4,0,0.06,,,,,100,,1648.15,30000,,0.882,,0.28,
MD2012,G132,44.38,6.7,12.6,11,0.14,12.99,7.8,3.9,0.4,0,0.1,,,,,100.01,,1648.15,30000,,0.874,,0.3,
MD2012,G160,46.05,2.24,13.19,9.59,0.18,16.28,10.19,2,0.15,0,0.13,,,,,100,,1713.15,30000,,0.901,,0.33,
MD2013,G217,23.4624,4.9296,4.0638,10.9512,0.1638,16.419,14.079,3.1278,0.1794,0,0.624,,,,22,100,,1648.15,30000,,0.891,,0.33,
MD2013,G227,23.9624,3.5574,4.0964,11.5962,0.1694,14.6839,15.4616,3.0954,0.231,0,0.154,,,,23,100.0077,,1648.15,30000,,0.85,,0.4,
MD2013,G239,34.3552,2.464,7.4008,9.6888,0.132,17.8816,12.3376,3.52,0.0968,0,0.1144,,,,12,99.9912,,1648.15,30000,,0.878,,0.46,
MD2013,G240,34.38,3.078,8.235,11.124,0.153,15.561,11.763,5.427,0.189,0,0.09,,,,10,100,,1648.15,30000,,0.867,,0.38,
MD2013,B222,37.3296,5.6848,9.328,8.888,0.1056,13.684,8.888,3.5552,0.352,0,0.176,,,,12,99.9912,,1648.15,30000,,0.884,,0.36,
MD2013,B223,45.4272,5.664,11.4336,9.5136,0.1056,11.7216,7.584,4.032,0.3264,0,0.192,,,,4,100,,1648.15,30000,,0.879,,0.3,
MD2014,G150,44.98,6.11,13.72,10.32,0.16,12.02,8.42,3.81,0.4,0,0.06,,,,,100,,1648.15,30000,,0.882,,0.28,
MD2014,B208,41.751037,6.262184,10.062877,9.487586,0.09431,13.278848,8.440745,4.460863,0.37724,0,0.09431,,,,5.69,100,,1648.15,30000,,0.882,,0.33,
MD2014,B222,37.834398,5.761674,9.463059,9.00819,0.107028,13.869045,9.00819,3.603276,0.35676,0,0.17838,,,,10.81,100,,1648.15,30000,,0.884,,0.36,
MD2014,B219,37.892449,6.674187,9.376287,9.925714,0.099077,12.357604,10.015784,3.341597,0.288224,0,0.09007,,,,9.93,99.990993,,1648.15,30000,,0.888,,0.28,
MD2014,B209,39.323445,4.753686,9.883629,8.874159,0.100947,14.811678,10.057992,3.661623,0.229425,0,0.09177,,,,8.23,100.018354,,1648.15,30000,,0.892,,0.36,
MD2014,G132,44.38,6.7,12.59,11,0.14,12.99,7.8,3.9,0.4,0,0.1,,,,,100,,1648.15,30000,,0.874,,0.3,
MD2014,B212,42.55365,5.78025,11.276075,8.9915,0.082575,11.276075,7.147325,4.2205,0.357825,0,0.064225,,,,8.25,100,,1648.15,30000,,0.875,,0.32,
MD2014,B223,45.49818,5.682465,11.451465,9.51885,0.105765,11.739915,7.59585,4.0383,0.32691,0,0.1923,,,,3.85,100,,1648.15,30000,,0.879,,0.3,
MD2014,B215,37.20584,5.052208,9.299248,9.750496,0.123872,13.201216,8.856848,4.432848,0.300832,0,0.274288,,,,11.52,100.017696,,1648.15,30000,,0.884,,0.32,
MD2014,B211,35.048135,5.2638,8.851957,9.641527,0.096503,14.457904,9.641527,4.377727,0.26319,0,0.08773,,,,12.27,100,,1648.15,30000,,0.891,,0.33,
SS2017,JER15-63,9.207999,2.848662,0.40122,7.349013,0.280854,20.79657,17.279208,5.797629,2.795166,0.013374,0.100305,,,1.44,31.69,100,,1673.15,70000,,0.907,,0.52,
SS2017,JER15-51,19.558942,3.073226,1.066988,7.761962,0.278018,20.903948,15.523924,4.343092,2.381938,0.060112,0.195364,,,1.09,23.77,100.007514,,1773.15,70000,,0.918,,0.43,
SS2017,JER16-74,23.845632,2.18624,1.553792,8.284288,0.27328,22.8384,14.046592,3.131008,1.514752,0.031232,0.374784,,,8.74,13.18,100,,1673.15,70000,,0.926,,0.39,
SS2017,JER15-57,13.655376,2.23744,0.706192,6.57248,0.237728,21.458448,18.172208,4.411952,2.258416,0.027968,0.181792,,,0.92,29.16,100,,1773.15,70000,,0.919,,0.51,
SS2017,JER15-60,18.85442,2.122978,0.898183,7.378462,0.267228,22.335807,16.389984,3.793153,1.840904,0.059384,0.289497,,,0.77,25,100,,1823.15,70000,,0.921,,0.46,
SS2017,JER16-75,13.662064,2.101856,0.6914,7.439464,0.255818,22.1248,16.413836,4.590896,1.631704,0.041484,0.193592,,,4.43,26.43,100.006914,,1673.15,70000,,0.913,,0.51,
SS2017,JER15-73,24.25626,1.710828,1.52334,8.31978,0.257796,24.25626,13.63194,2.507652,1.203048,0.03906,0.421848,,,7.08,14.8,100.007812,,1673.15,70000,,0.93,,0.39,
SS2017,JER15-62,19.165889,1.796572,0.868834,7.421904,0.228253,22.876841,15.970347,3.298624,1.649312,0.051541,0.309246,,,0.66,25.71,100.007363,,1823.15,70000,,0.922,,0.47,
SS2017,JER15-68,21.451077,1.658163,0.982893,6.865245,0.247599,24.197175,14.743395,3.15126,1.320528,0.037515,0.382653,,,0.64,24.33,100.007503,,1873.15,70000,,0.932,,0.46,
SS2017,JER15-43,7.857195,1.666104,0.283995,6.12167,0.214574,20.403463,20.605415,4.184193,1.634549,0.031555,0.113598,,,0.85,36.04,100.006311,,1673.15,70000,,0.911,,0.58,
SS2017,JER15-48,11.2922,1.73575,0.4323,6.6548,0.22925,20.06265,19.257,4.2313,1.40825,0.0393,0.15065,,,0.77,33.73,99.99345,,1723.15,70000,,0.913,,0.51,
SS2017,JER15-53,11.918856,1.843613,0.530634,6.823409,0.224499,21.70157,19.055203,4.177042,1.530675,0.040818,0.183681,,,0.72,31.25,100,,1773.15,70000,,0.911,,0.55,
SS2017,JER15-54,17.513384,1.738247,0.836395,7.120267,0.225463,22.633576,17.207918,3.585589,1.534603,0.029092,0.298193,,,0.62,26.65,99.992727,,1798.15,70000,,0.923,,0.47,
SS2017,JER15-37,24.869195,1.40959,1.835565,6.699425,0.193625,22.638635,15.327355,2.842415,1.11528,0.038725,0.48019,,,0.5,22.05,100,,1823.15,70000,,0.932,,0.44,
SS2017,JER15-39,27.6483,1.346352,1.570744,7.100404,0.216378,24.907512,13.367352,2.428242,1.009764,0.048084,0.496868,,,0.44,19.42,100,,1873.15,70000,,0.939,,0.41,
SS2017,JER15-67,26.908382,1.383996,1.614662,6.80067,0.190896,24.673308,13.704742,2.640728,1.018112,0.063632,0.548826,,,0.46,20,100.007954,,1923.15,70000,,0.937,,0.43,
SS2017,JER15-65,13.303752,1.7215,0.633512,7.154554,0.234124,22.076516,18.14461,4.02831,1.30834,0.061974,0.192808,,,2.17,28.97,100,,1673.15,70000,,0.913,,0.52,
SS2017,JER15-64,11.802496,1.660992,0.567168,6.758752,0.20256,22.389632,18.459968,4.436064,1.006048,0.040512,0.189056,,,4.24,28.24,99.993248,,1673.15,70000,,0.917,,0.54,
SS2017,JER15-55,18.463562,1.515447,1.046903,7.167259,0.212309,23.610225,16.347793,2.9284,1.515447,0.07321,0.329445,,,5.36,21.43,100,,1673.15,70000,,0.926,,0.47,
SS2017,JER15-69,12.52628,1.56832,0.44616,6.51664,0.21632,22.30124,18.52916,3.86672,1.42636,0.0338,0.17576,,,0.64,31.76,100.00676,,1723.15,70000,,0.92,,0.53,
SS2017,JER15-61,15.45702,1.48218,0.656394,6.874492,0.218798,23.136124,17.277984,3.839552,1.312788,0.049406,0.261146,,,0.58,28.84,99.985884,,1773.15,70000,,0.921,,0.51,
SS2017,JER15-59,8.920785,1.520076,0.32205,6.286416,0.231876,21.19089,20.585436,3.748662,1.41702,0.038646,0.12882,,,0.65,34.94,99.980677,,1673.15,70000,,0.912,,0.58,
SS2017,JER15-56,10.987376,1.262992,0.405728,6.452384,0.22904,21.470864,18.951424,4.135808,1.3088,0.052352,0.183232,,,0.62,33.94,100,,1753.15,70000,,0.914,,0.56,
SS2017,JER15-36,5.978853,1.174095,0.252882,6.08121,0.198693,20.688156,20.001762,4.2147,1.469124,0.030105,0.108378,,,0.61,39.18,99.987958,,1673.15,70000,,0.902,,0.66,
SD2019,MA165,7.90254,0.716742,0.177654,5.599164,0.128646,19.946256,23.12565,3.39993,0.232788,0.012252,0.024504,,,,38.74,100.006126,,1723.15,100000,,0.921,,0.55,
SD2019,MA166,19.647396,0.743454,0.627966,6.691086,0.14436,26.735472,15.381558,1.956078,0.129924,0.050526,0.07218,,,,27.82,100,,1723.15,100000,,0.95,,0.37,
SD2019,MA167,15.246204,0.704829,0.513225,4.810629,0.143703,26.153946,18.106578,2.353992,0.314778,0.027372,0.054744,,,,31.57,100,,1723.15,100000,,0.955,,0.45,
SD2019,MA180,24.11206,0.714147,0.929159,7.963123,0.253407,26.792031,14.682248,1.044344,0.145901,0.069111,0.092148,,,,23.21,100.007679,,1723.15,100000,,0.954,,0.29,
SD2019,MA181,16.797186,0.783216,0.482517,6.335658,0.195804,25.678296,18.013968,1.384614,0.174825,0.041958,0.041958,,,,30.07,100,,1723.15,100000,,0.947,,0.4,
SD2019,MA185,21.170422,0.830362,1.21888,7.298044,0.220922,24.7585,19.319248,1.10461,0.137124,0.03809,0.068562,,,,23.82,99.984764,,1673.15,70000,,0.943,,0.36,
SD2019,MA188,33.10336,0.566016,2.718592,5.754496,0.197248,28.90112,13.03552,1.132032,0.120064,0.04288,0.180096,,,,14.24,99.991424,,1673.15,70000,,0.966,,0.31,
SD2019,MA190,25.984104,0.591964,1.892727,5.14074,0.186936,26.646169,15.65589,1.518855,0.132413,0.031156,0.109046,,,,22.11,100,,1673.15,70000,,0.957,,0.41,
SD2019,MA192,19.028691,1.112958,1.01178,8.231553,0.195129,20.698128,19.599624,2.1681,0.166221,0,0.057816,,,,27.73,100,,1673.15,70000,,0.898,,0.51,
SD2019,MA193,28.191673,0.802848,2.458722,9.333108,0.225801,24.470138,16.617281,1.229361,0.108719,0.008363,0.175623,,,,16.37,99.991637,,1673.15,70000,,0.902,,0.51,
SD2019,MA200,20.09336,0.74942,1.09074,8.57752,0.2226,23.00942,19.57396,0.69006,0.1113,0.00742,0.06678,,,,25.8,99.99258,,1673.15,70000,,0.897,,0.55,
T1986,43,46.99,0.9,11.02,7.82,0.2,19.24,12.22,1.2,0,0,0.4,,,,,99.99,,1823.15,30000,,0.926,,0.35,
T1986,63,47.68,0.2,5.15,9.39,0.1,31.62,4.85,0.51,0,0,0.51,,,,,100.01,,2173.15,75000,,0.941,,0.38,
T1986,78,46.65,0.2,4.6,8.81,0.2,34.93,3.9,0.3,0,0,0.4,,,,,99.99,,2173.15,80000,,0,,,
W1998,40.06,46.63,1.46,9.86,10.71,0.2,18.68,10.36,0.93,0.83,0,0.33,,,,,99.99,,1863.15,40000,,0.904,,0.33,
W1998,40.07,45.88,1.28,10.43,10.73,0.19,20.05,9.38,1.09,0.71,0,0.25,,,,,99.99,,1883.15,40000,,0.903,,0.36,
W1998,45.03,46.21,1.67,8.31,11.78,0.21,20.12,9.25,1.12,1,0,0.34,,,,,100.01,,1893.15,45000,,0.907,,0.31,
W1998,45.02,46.16,0.49,9.04,10.15,0.19,24.45,8.19,0.58,0.29,0,0.46,,,,,100,,1923.15,45000,,0.923,,0.36,
W1998,50.01,45.3,1.27,7.23,12.02,0.2,22.54,9.65,0.87,0.61,0,0.31,,,,,100,,1953.15,50000,,0.905,,0.35,
W1998,60.01,45.42,1.02,6.43,12.77,0.21,23.49,9.14,0.81,0.36,0,0.35,,,,,100,,1983.15,60000,,0.907,,0.34,
W1998,60.07,45.78,0.92,6.55,11.86,0.22,24.06,8.72,0.87,0.61,0,0.41,,,,,100,,2013.15,60000,,0.914,,0.34,
W1998,60.05,46.81,0.49,7.32,10.31,0.19,26.37,7.38,0.45,0.23,0,0.43,,,,,99.98,,2028.15,60000,,0.926,,0.36,
W1998,70.07,45.58,1.24,5.14,12.65,0.23,24.13,8.7,1.05,0.92,0,0.36,,,,,100,,2063.15,70000,,0.912,,0.33,
W1998,70.02,46.53,0.67,5.48,11.72,0.2,25.52,8.57,0.64,0.3,0,0.37,,,,,100,,2083.15,70000,,0.914,,0.37,
W1998,70.05,47.02,0.58,6.26,10.58,0.2,26.65,7.42,0.56,0.25,0,0.49,,,,,100.01,,2093.15,70000,,0.925,,0.37,
W1998,70.09,47.35,0.43,6.3,9.69,0.19,27.46,7.3,0.64,0.15,0,0.47,,,,,99.98,,2108.15,70000,,0.934,,0.35,
W1998,70.08,47.44,0.28,6.46,8.63,0.18,30.36,5.62,0.41,0.11,0,0.5,,,,,99.99,,2123.15,70000,,0.947,,0.35,
