ref,run,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,CoO,NiO,H2O,CO2,total,_Fe3Fetotal,T_K,P_bar,_Fe3Fe2,olivine_forsterite,fO2,kd_FeTMg,kd_Fe2Mg
M2006,FDA3-05,43.5,,12.01,15.94,0.99,14.14,10.84,,,,,0.75,0.41,,,,,1573.15,1,0.575,0.9259,1.00E-03,,0.297264438
M2006,FDA3-06,40.98,,12.32,19.54,0.99,13.34,12.06,,,,,0.77,0.46,,,,,1573.15,1,0.447,0.8872,1.00E-04,,0.279816514
M2006,FDA3-07,41.14,,12.54,19.39,0.97,12.85,10.59,,,,,0.76,0.49,,,,,1573.15,1,0.436,0.8745,1.00E-05,,0.259159159
M2006,FDA3-08,41.02,,13.31,19.69,0.97,12.19,10.96,,,,,0.77,0.38,,,,,1573.15,1,0.232,0.8132,1.00E-06,,0.286350148
M2006,FDA3-09,40.51,,13.5,18.91,1.02,11.93,11.93,,,,,0.65,0.23,,,,,1573.15,1,0.172,0.8132,1.00E-07,,0.312094395
M2006,FDA3-1.5-00,46.51,,11.69,12.06,1.45,14,11.48,,,,,0.9,0.45,,,,,1573.15,1,0.8,0.957,2.09E-01,,0.463929619
M2006,FDA3-10,42.52,,14.05,16.98,1.03,12.25,12.17,,,,,0.48,0.08,,,,,1573.15,1,0.118,0.8179,1.00E-08,,0.324637681
M2006,FDA3-2-00,45.07,,11.52,12.13,2.04,14.26,11.39,,,,,1.3,0.68,,,,,1573.15,1,0.8,0.9654,2.09E-01,,0.375528701
Ma2011,26,46.33,1.49,8.8,12.31,0.17,23.9,7.36,0.094,,,0.19,,0.18,,,,,1773.15,1,0.171265461,0.92294,3.09E-06,,0.338426
Ma2011,39,46.71,1.67,9.86,13.8,0.17,19.51,9.15,0.4,,,,,0.15,,,,,1669.15,1,0.584415584,0.969658,0.208929613,,0.124945
Ba2011,R389,45.264369,0.676008,12.994376,8.046373,0.150224,14.0835,9.689448,2.459918,0.37556,0.009389,0.140835,,,6,0.11,100,,1648.15,30000,,0.886,,0.4,
Ba2011,R385,45.325203,0.801465,12.691434,9.108414,0.150864,13.379751,9.042411,3.224718,0.490308,0,0.075432,,,5.53,0.18,100,,1648.15,30000,,0.882,,0.35,
Ba2011,R390,43.895858,0.717592,12.55786,10.3862,0.160514,13.464292,9.876332,2.78539,0.443774,0.018884,0.103862,,,5.37,0.21,99.990558,,1648.15,30000,,0.872,,0.34,
Ba2011,R395,45.995308,0.698042,12.715684,7.320008,0.141495,14.640016,9.602794,2.716704,0.37732,0,0.122629,,,5.31,0.36,100,,1648.15,30000,,0.9,,0.4,
Ba2011,R396,44.621604,0.75984,13.287702,8.842638,0.14247,14.247,9.725952,2.925384,0.351426,0,0.09498,,,4.78,0.24,100.018996,,1648.15,30000,,0.889,,0.36,
Ba2011,R398,44.750095,0.669601,12.486644,8.572779,0.150896,14.834963,9.534741,2.763283,0.433826,0,0.122603,,,5.41,0.28,100.009431,,1648.15,30000,,0.904,,0.33,
Ba2011,R380OC,45.185595,0.64974,12.564825,9.555,0.143325,14.743365,9.411675,2.8665,0.32487,0,0.11466,,,4,0.45,100.009555,,1648.15,30000,,0.892,,0.33,
Ba2011,R393OC,45.552828,0.737814,13.089012,8.805858,0.153312,14.430492,9.591582,2.941674,0.392862,0.019164,0.105402,,,4.1,0.08,100,,1648.15,30000,,0.89,,0.36,
DH2007,M172,8.91,0.51084,0.39204,4.80546,0.45144,18.31302,18.117,7.80516,0.10098,0,0,,,,40.6,100.00594,,1503.15,66000,,0.912,,0.66,
DH2007,M165,6.985,0.9955,0.4895,6.8255,0.2915,17.8695,20.064,1.397,0.0825,0,0,,,,45,100,,1533.15,66000,,0.912,,0.45,
DH2007,M265,4.19498,0.8414,0.4207,5.89581,0.19833,19.98325,20.08542,8.39597,0.0601,0,0.03005,,,,39.9,100.00601,,1473.15,66000,,0.907,,0.62,
DH2007,M278,4.00078,0.74046,0.36736,6.00404,0.2296,17.9088,23.81526,4.20168,0.06888,0,0.0574,,,,42.6,99.99426,,1503.15,66000,,0.904,,0.56,
DH2007,M282,4.10262,0.95142,0.27876,7.40532,0.19998,22.11294,21.60996,3.78144,0.01212,0,0.1515,,,,39.4,100.00606,,1503.15,66000,,0.906,,0.55,
DH2007,M289,4.0931,1.0492,0.2806,7.8629,0.2013,21.8807,21.4781,3.9955,0.0122,0,0.1525,,,,39,100.0061,,1518.15,66000,,0.906,,0.51,
DH2007,M295,3.99456,0.99104,0.32224,7.58176,0.20672,21.97312,21.47456,4.09184,0.04864,0,0.1216,,,,39.2,100.00608,,1518.15,66000,,0.906,,0.54,
D2007,A471,5.300603,0.910602,2.197811,7.801948,0.16863,13.400464,25.300121,1.079232,0.050589,0,0,,,,43.79,100,,1573.15,30000,,0.903,,0.33,
D2007,A472,6.998508,1.207655,2.698078,7.499243,0.170839,14.002907,25.301845,0.977906,0.047128,0,0,,,,41.09,99.994109,,1598.15,30000,,0.902,,0.36,
D2007,A482,21.29085,1.20911,7.34478,8.92188,0.17273,14.77217,19.27066,1.98264,0.05257,0,0.08261,,,,24.9,100,,1623.15,30000,,0.906,,0.31,
D2007,A500,25.55182,1.14768,7.00563,9.46836,0.17534,15.35819,19.10409,1.8331,0.05579,0,0,,,,20.3,100,,1633.15,30000,,0.908,,0.29,
D2007,A483,25.92036,1.14878,7.45089,9.63519,0.17798,15.62988,19.35937,1.51283,0.05663,0,0,,,,19.1,99.99191,,1648.15,30000,,0.908,,0.29,
D2007,A486,29.16162,1.0575,8.02854,9.80514,0.1692,16.56468,18.34128,1.3536,0.0423,0,0.07614,,,,15.4,100,,1673.15,30000,,0.909,,0.3,
